Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
privacy-filter-for-156-laptop,"Privacy Filter for 15.6"" Laptop","<p>Privacy Filter for 15.6"" Laptop by 3M for business and enterprise accessory needs.</p>",3M,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,72.43,TRUE,TRUE,,,,active
privacy-filter-for-27-widescreen-monitor,"Privacy Filter for 27"" Widescreen Monitor","<p>Privacy Filter for 27"" Widescreen Monitor by 3M for business and enterprise accessory needs.</p>",3M,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,163.74,TRUE,TRUE,,,,active
privacy-screen-for-macbook-pro-14in,Privacy Screen for MacBook Pro 14in,<p>Privacy Screen for MacBook Pro 14in by 3M for business and enterprise accessory needs.</p>,3M,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,0,deny,manual,67.79,TRUE,TRUE,,,,active
privacy-screen-for-macbook-pro-16in,Privacy Screen for MacBook Pro 16in,<p>Privacy Screen for MacBook Pro 16in by 3M for business and enterprise accessory needs.</p>,3M,,Privacy Screens,"b2b-catalog,market:china,privacy-screens",TRUE,Title,Default Title,,shopify,110,deny,manual,72.43,TRUE,TRUE,,,,active
ergonomic-keyboard,Ergonomic Keyboard,"<p>An ergonomic keyboard is a computer keyboard designed with ergonomic considerations to minimize muscle strain, fatigue, and other problems.</p>",Adesso,,Keyboards,"b2b-catalog,market:china,keyboards",TRUE,Title,Default Title,,shopify,57,deny,manual,92.69,TRUE,TRUE,,,,active
adjustable-monitor-stand,Adjustable Monitor Stand,<p>Adjustable Monitor Stand by AmazonBasics for business and enterprise accessory needs.</p>,AmazonBasics,,Monitors & Display Accessories,"b2b-catalog,market:china,monitors-display-accessories",TRUE,Title,Default Title,,shopify,4,deny,manual,46.52,TRUE,TRUE,,,,active
usb-c-to-displayport-cable-6-ft,USB-C to DisplayPort Cable (6-Ft),<p>USB-C to DisplayPort Cable (6-Ft) by AmazonBasics for business and enterprise accessory needs.</p>,AmazonBasics,,Cables,"b2b-catalog,market:china,cables",TRUE,Title,Default Title,,shopify,0,deny,manual,44.88,TRUE,TRUE,,,,active
521-40w-wall-charger-spectacles-offering,521 40W Wall Charger (Spectacles Offering),<p>521 40W Wall Charger (Spectacles Offering) by Anker for business and enterprise accessory needs.</p>,Anker,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,0,deny,manual,23.26,TRUE,TRUE,,,,active
series-5-521-power-adapter-nano-pro-24-pin-usb-c-40-watt,Series 5 521 power adapter - nano pro - 24 pin USB-C - 40 Watt,<p>Series 5 521 power adapter - nano pro - 24 pin USB-C - 40 Watt by Anker for business and enterprise accessory needs.</p>,Anker,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,0,deny,manual,10.84,TRUE,TRUE,,,,active
140w-usb-c-power-adapter,140W USB-C Power Adapter,<p>140W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:china,power-adapters",TRUE,Title,Default Title,,shopify,2000,deny,manual,128.45,TRUE,TRUE,,,,active
