Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
privacy-filter-for-156-laptop,"Privacy Filter for 15.6"" Laptop","<p>Privacy Filter for 15.6"" Laptop by 3M for business and enterprise accessory needs.</p>",3M,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,156L-PRIVACY-SCREEN,shopify,0,deny,manual,55.36,TRUE,TRUE,,,,active
privacy-filter-for-27-widescreen-monitor,"Privacy Filter for 27"" Widescreen Monitor","<p>Privacy Filter for 27"" Widescreen Monitor by 3M for business and enterprise accessory needs.</p>",3M,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,2769A-PRIVACY-SCREEN,shopify,0,deny,manual,199.50,TRUE,TRUE,,,,active
privacy-screen-for-macbook-pro-14in,Privacy Screen for MacBook Pro 14in,<p>Privacy Screen for MacBook Pro 14in by 3M for business and enterprise accessory needs.</p>,3M,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K58370WW,shopify,0,deny,manual,65.25,TRUE,TRUE,,,,active
privacy-screen-for-macbook-pro-16in,Privacy Screen for MacBook Pro 16in,<p>Privacy Screen for MacBook Pro 16in by 3M for business and enterprise accessory needs.</p>,3M,,Privacy Screens,"b2b-catalog,market:australia,privacy-screens",TRUE,Title,Default Title,K58371WW,shopify,110,deny,manual,72.61,TRUE,TRUE,,,,active
ergonomic-keyboard,Ergonomic Keyboard,"<p>An ergonomic keyboard is a computer keyboard designed with ergonomic considerations to minimize muscle strain, fatigue, and other problems.</p>",Adesso,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,AKF003US,shopify,57,deny,manual,33.87,TRUE,TRUE,,,,active
adjustable-monitor-stand,Adjustable Monitor Stand,<p>Adjustable Monitor Stand by AmazonBasics for business and enterprise accessory needs.</p>,AmazonBasics,,Monitors & Display Accessories,"b2b-catalog,market:australia,monitors-display-accessories",TRUE,Title,Default Title,AMS-1L,shopify,4,deny,manual,24.48,TRUE,TRUE,,,,active
usb-c-to-displayport-cable-6-ft,USB-C to DisplayPort Cable (6-Ft),<p>USB-C to DisplayPort Cable (6-Ft) by AmazonBasics for business and enterprise accessory needs.</p>,AmazonBasics,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,CDP2DP146B,shopify,0,deny,manual,29.73,TRUE,TRUE,,,,active
521-40w-wall-charger-spectacles-offering,521 40W Wall Charger (Spectacles Offering),<p>521 40W Wall Charger (Spectacles Offering) by Anker for business and enterprise accessory needs.</p>,Anker,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,ANK2P45W,shopify,0,deny,manual,45.03,TRUE,TRUE,,,,active
series-5-521-power-adapter-nano-pro-24-pin-usb-c-40-watt,Series 5 521 power adapter - nano pro - 24 pin USB-C - 40 Watt,<p>Series 5 521 power adapter - nano pro - 24 pin USB-C - 40 Watt by Anker for business and enterprise accessory needs.</p>,Anker,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,ANKPRO521,shopify,0,deny,manual,54.22,TRUE,TRUE,,,,active
140w-usb-c-power-adapter,140W USB-C Power Adapter,<p>140W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MW2M3X/A,shopify,2000,deny,manual,110.51,TRUE,TRUE,,,,active
20w-usb-c-power-adapter,20W USB-C Power Adapter,<p>20W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MWVT3X/A,shopify,1000,deny,manual,18.95,TRUE,TRUE,,,,active
240w-usb-c-charge-cable-2-m,240W USB-C Charge Cable (2 m),<p>240W USB-C Charge Cable (2 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,MYQT3FE/A,shopify,766,deny,manual,29.72,TRUE,TRUE,,,,active
60w-usb-c-charge-cable-1-m,60W USB-C Charge Cable (1 m),<p>60W USB-C Charge Cable (1 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,MW493FE/A,shopify,600,deny,manual,18.95,TRUE,TRUE,,,,active
67w-usb-c-power-adapter,67W USB-C Power Adapter,<p>67W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MKU63X/A,shopify,562,deny,manual,0.00,TRUE,TRUE,,,,active
70w-usb-c-power-adapter,70W USB-C Power Adapter,<p>70W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MXN53X/A,shopify,484,deny,manual,65.94,TRUE,TRUE,,,,active
96w-usb-c-power-adapter,96W USB-C Power Adapter,<p>96W USB-C Power Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MW2L3X/A,shopify,481,deny,manual,88.22,TRUE,TRUE,,,,active
earpods-with-35-mm-headphone-plug,EarPods with 3.5 mm Headphone Plug,<p>EarPods with 3.5 mm Headphone Plug by Apple for business and enterprise accessory needs.</p>,Apple,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,MWU53FE/A,shopify,440,deny,manual,18.95,TRUE,TRUE,,,,active
earpods-with-lightning-connector,EarPods with Lightning Connector,"<p>EarPods are wired earphones designed and marketed by Apple Inc. They were introduced in September 2012 alongside the iPhone 5 and replaced Apple’s earlier circular earbuds. EarPods are characterized by an asymmetric, contoured design intended to better fit the human ear and improve comfort and sound performance. The EarPods are available in three connector options: 3.5mm headphone, Lightning and USB-C. EarPods were previously bundled with various iPhone models from 2012 to 2020.</p>",Apple,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,MWTY3FE/A,shopify,425,deny,manual,18.95,TRUE,TRUE,,,,active
earpods-with-usb-c-connector,EarPods with USB-C Connector,<p>EarPods with USB-C Connector by Apple for business and enterprise accessory needs.</p>,Apple,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,MYQY3FE/A,shopify,264,deny,manual,18.95,TRUE,TRUE,,,,active
lightning-to-digital-av-adapter,Lightning to Digital AV Adapter,<p>Lightning to Digital AV Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MD826AM/A,shopify,222,deny,manual,85.43,TRUE,TRUE,,,,active
magic-keyboard,Magic Keyboard,"<p>The Magic Keyboard is an Apple trademark used on several of their keyboards, referring to:Magic Keyboard (Mac), a wireless keyboard released by Apple in 2015
Magic Keyboard for iPad, a wireless keyboard with an integrated trackpad for use in iPads with a Smart Connector, released in 2020
The built-in keyboard of the MacBook Pro since 2019 and MacBook Air since 2020. Older Apple notebook keyboards that used the butterfly-switch mechanism do not use this brand name.</p>",Apple,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,MXCL3ZA/A,shopify,185,deny,manual,110.51,TRUE,TRUE,,,,active
magic-keyboard-with-numeric-keypad-silver,Magic Keyboard with Numeric Keypad (Silver),<p>Magic Keyboard with Numeric Keypad (Silver) by Apple for business and enterprise accessory needs.</p>,Apple,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,As Above,shopify,173,deny,manual,132.80,TRUE,TRUE,,,,active
magic-keyboard-with-numeric-keypad-us-english-silver,Magic Keyboard with Numeric Keypad - US English - Silver,<p>Magic Keyboard with Numeric Keypad - US English - Silver by Apple for business and enterprise accessory needs.</p>,Apple,,Keyboards,"b2b-catalog,market:australia,keyboards",TRUE,Title,Default Title,MXCJ3ZA/A,shopify,180,deny,manual,132.80,TRUE,TRUE,,,,active
magic-mouse-usbc-white-multi-touch-surface-fkamagic-mouse-3,Magic Mouse (USB‑C) - White Multi-Touch Surface (FKA:Magic Mouse 3),<p>Magic Mouse (USB‑C) - White Multi-Touch Surface (FKA:Magic Mouse 3) by Apple for business and enterprise accessory needs.</p>,Apple,,Mice & Pointing Devices,"b2b-catalog,market:australia,mice-pointing-devices",TRUE,Title,Default Title,MXK53ZA/A,shopify,0,deny,manual,88.22,TRUE,TRUE,,,,active
magic-mouse-3,Magic Mouse 3,"<p>The Magic Mouse is a multi-touch wireless computer mouse sold by Apple Inc. and manufactured by Foxconn. The first-generation Magic Mouse was released on October 20, 2009, and introduced multi-touch functionality to a computer mouse. Taking after the iPhone, iPod Touch, and multi-touch MacBook touchpads, the Magic Mouse allows the use of multi-touch gestures and inertia scrolling across the surface of the mouse, designed for use with macOS.</p>",Apple,,Mice & Pointing Devices,"b2b-catalog,market:australia,mice-pointing-devices",TRUE,Title,Default Title,MMMQ3ZA/A,shopify,160,deny,manual,88.22,TRUE,TRUE,,,,active
magic-trackpad-3,Magic Trackpad 3,"<p>Apple Inc. has designed and manufactured several models of mice, trackpads, and other pointing devices, primarily for use with Macintosh computers. Over the years, Apple has maintained a distinct form and function with its mice that reflect their design languages of that time. Apple's current external pointing devices are the Magic Mouse 2 and Magic Trackpad 2.</p>",Apple,,Accessories,"b2b-catalog,market:australia,accessories",TRUE,Title,Default Title,MKQ23ZA/A,shopify,130,deny,manual,132.80,TRUE,TRUE,,,,active
power-adapter-extension-cable-6ft,Power Adapter Extension Cable 6ft,<p>Power Adapter Extension Cable 6ft by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MW2N3X/A,shopify,123,deny,manual,21.54,TRUE,TRUE,,,,active
thunderbolt-3-usb-c-cable-08-m,Thunderbolt 3 (USB-C) Cable (0.8 m),<p>Thunderbolt 3 (USB-C) Cable (0.8 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,MQ4H2AM/A,shopify,120,deny,manual,49.30,TRUE,TRUE,,,,active
usb-c-charge-cable-2-m,USB-C Charge Cable (2 m),<p>USB-C Charge Cable (2 m) by Apple for business and enterprise accessory needs.</p>,Apple,,Cables,"b2b-catalog,market:australia,cables",TRUE,Title,Default Title,MYQT3FE/A,shopify,104,deny,manual,29.72,TRUE,TRUE,,,,active
usb-c-digital-av-multiport-adapter,USB-C Digital AV Multiport Adapter,<p>USB-C Digital AV Multiport Adapter by Apple for business and enterprise accessory needs.</p>,Apple,,Power & Adapters,"b2b-catalog,market:australia,power-adapters",TRUE,Title,Default Title,MW5M3ZA/A,shopify,87,deny,manual,85.43,TRUE,TRUE,,,,active
